text,label,notes
"Ref aside, the Egyptians are a class above NZ and the result is what you would expect. Kiwis showed a lot of fight in the first half, but lost concentration in the second. Egypt just too good. Entertaining game, Ty both teams. Grats Egypt!",hot_take,
"Really impressed by Egypt's passing in this game. Lots of nifty little combinations in small spaces. Very quick and precise. That second goal especially had a beautiful passing sequence. Even the corner for the third goal happened after such a sequence.


Not sure what happened with New Zealand. First half was quite good and showed they could hold their own. But second half they completely switched off.  Egypt's third goal was one of the worst defended corners I've ever seen. Trezegeut didn't even need to jump, let alone move. He was completely open and unmarked for like 5 seconds before the corner was taken. NZ stopped defending for some reason, even though the scoreline was just at 1-2. Very strange. Killed the game right then and there.",analysis,
"Congrats to Egypt. Very good second half from them

Slightly concerned with how tired we looked in that second half. Fitness levels should have been slightly better I think. But hopefully we can regroup for a good performance against Belgium.",hot_take,
"Welp. I can be hopeful for New Zealand but realistically Belgium has to wake up at some point. 

But Uruguay are the really screwed ones. I don't see them getting a win over Spain, and I don't think three draws is going to cut it.",hot_take,
"Disappointing 2nd half from NZ. Game  
Looked fairly even at half time but Egypt were head and shoulders above us in the 2nd. Congrats on your first WC win Egypt 👏 We’ll have to wait a bit longer for ours.",hot_take,
"I have obvious biases but Salah was fantastic in that second half. Refs aside, it felt like every time Egypt was creating chances, Mo was involved",hot_take,"EDGE (analysis vs hot_take): gives a reason but it is a general impression, not a specific play -> defaulted to hot_take."
the reffing has been incredible this tournament. im not commenting on this game specifically but letting the teams be physical and play has been awesome,hot_take,
"NZ showed no reaction during the 2nd half. No. 19 from NZ came on and his mistakes contributed to two of Egypt's goals, he was awful. The ref was shit, but most calls benefited Egypt because they were at least trying to keep attacking. Still, there was a string of plays where nothing got called for NZ.",analysis,
"Yes the ref left a lot of stuff go, but Egypt were the much better team in the second half. New Zealand couldn't live with their intensity. Delighted for Mo, feels insane that this is Egypt's first World Cup win considering some of the teams they've had",hot_take,
"&gt;Really impressed by Egypt's passing in this game. Lots of nifty little combinations in small spaces. Very quick and precise. That second goal especially had a beautiful passing sequence. Even the corner for the third goal happened after such a sequence.

You should check out the Belgium match our passing was even better there and we were just unclinical.

&gt;Egypt's third goal was one of the worst defended corners I've ever seen.

NZ's first goal could provide some competition, Our players were literally marking each other lol",analysis,
I think New Zealand got nervous as shit and thought to “play it safe” to hold on to their goal and it backfired,hot_take,
My GOAT never lost it. Slot is having an awful tournament with pretty much all Liverpool players having a great time,hot_take,
"I think NZ looked tired in the 2nd half, which is a kinda shame because their attack has been quite electric going forward",hot_take,
I left after they equalized then didn't see the rest of the game. Not surprised Egypt won. They just looked like a completely different side,hot_take,
"yeah but those have been last defender fouls and pretty clear. it isn't the same and i think you know that.

they very clearly have a directive to call the game differently and have.",analysis,
"Thanks and thank you for a great game. I agree your boys looked tired and in the second half I felt like you sat back without a plan, not even a real defensive plan. Coach has to react quicker!",analysis,EDGE: names a tactical failing but points to no specific sequence -> kept as analysis (named mechanism rule).
"Kudos to New Zealand, I did not expect them to be looking this good and coherent in attack. The ref allowed a lot more fouls that should have been called, but I don't think the Kiwis should be feeling down for this defeat for long. They're looking a lot better than a creaking geriatric Belgium team and they have more than a decent chance at actually causing an upset. 

On the other hand, Egypt were also good to watch unlike in Afcon when I last saw them, they were so dour. Salah's finish aside, he was struggling to influence the game. His pace looked gone and it maybe better for him to move centrally and connect play more like Kane and Messi.",analysis,
"Dubious ref calls (or non calls) aside, Kiwis made a nest and went to sleep on the pitch. Meanwhile their goalie gave them no breaks, lobbing the ball straight back into play each time. Egypt played with the possession and energy of Turkiye, except they actually scored.",analysis,"EDGE: metaphor-heavy, but the goalie/possession detail is concrete -> analysis."
"should’ve got an assist literally passed the ball to zizo 1 on 1, keeper got dribbled but he hesitated like crazy and gave all the time in the world for the keeper to follow up with a save",analysis,
"Good luck Spain, Uruguay is going to kick the shit out of them all game. They're in full meltdown mode.",hot_take,
"It would be hilarious if Cape Verde finishes top of this group just like how Japan did in 2022.

They're the underdog story of this WC.

Getting 2 draws against former World Champions is no mere coincidence, they have deserved it.",hot_take,
"So “dark horse” teams that can make deep runs but still not win the thing is really just a fancy way of saying overated af. Look at Belgium, Türkiye, now Uruguay. lol",hot_take,
That second CV goal was defensive error but the finish still took some doing. Think we’ve got a great chance to not only grab a debut W but a spot in the next round. Think I gotta gamble and schedule the time off!,hot_take,
"Referee should have let that free kick at the last minute happen. 

I don't understand how he ended it there.",hot_take,
Cape Verde (against *Spain* and Uruguay) and Curacao get points and perennial Dark Horse Turkiye get nothing against Australia and Paraguay. Embarrassing.,hot_take,
"Congratulations to Cape Verde on this historic performance.

Being unbeaten against Spain and Uruguay is no mean feat and they have performed exceptionally.

Probably the biggest overachievers of this WC.

I hope they reach the knockouts.",hot_take,
Uruguay screwed up again. Damn how did Bielsa waste the potential of Uruguay is insane. Another 2002 disasterclass.,hot_take,
"if Bielsa is gonna play Valverde at the 10, he's gotta do more than pass the ball around in the back and shoot it into the stands 3 times a game. He's got insane talent and just doesnt feel like showing up for some reason. 

De la Cruz should've been in instead of either Ugarte or Bentacur cuz Valverde is just too conservative in that position.",analysis,
"I mean, sure a draw could be enough, but I think they can actually beat Saudia Arabia if they play the way they did today",hot_take,
"Turkey is shite, but Uruguay and Belgium do have quality. Uruguay just has a bunch of hot headed dumbasses on their squad too. I think Belgium is going to come to play finally against New Zealand (unfortunately because I'd like to see the Kiwis advance... hopefully they get the win tonight!)",hot_take,
When the United States beat the Uruguay 5-1 a lot of people in the comments were saying oh well it’s just a friendly. That should have been Uruguay wake up call but it wasn’t.,hot_take,
"Cape verde give me what Brazil used to a long time ago now, they give me that fix im looking for of crazy audacious plays, amazing bits of skill and mavericks.",hot_take,
"If you fell Bielsa is stupid, imagine Parrera who wasted a squad with Prime Ronaldinho, Ronaldo Phenomenon, Roberto Carlos, Cafu, Dida, Adriano 'The Emperor', Kaká, Robinho, Juninho.P and Gilberto Silva on 2006.

Well, at least he did won the damn thing in 94'",hot_take,
"&gt; Belgium do have quality

Has it been in the room with us this tournament? Because all I see is that a past-his-best Kevin de Bruyne is still by far their most important outfield player.

&gt; I think Belgium is going to come to play finally against New Zealand

I'm gonna laugh when they get hit by another Chris Wood masterclass",hot_take,
They’re just a mediocre team now. They are probably never winning another World Cup. 2010 was their last chance,hot_take,
"the finish required so much composure, and technique too. he hit the ball perfectly while at an angle and not saving much time. i’m so happy for you guys. well done!",hot_take,
"Yeah, but to your point he won in 1994, and the 2006 lost in the quarters against a Zidane led team 

Bielsa had Argentina getting eliminated by Sweden in 2002. And now Uruguay by Cape Verde or Saudi. It’s just not the same",hot_take,"EDGE: cites real scorelines, but they prop up a sweeping manager verdict rather than explain the match -> hot_take."
Ecuador makes me so mad. They are tough as fuck in the qualifiers only to implode in group stages every time,hot_take,
"I agree, why is Bielsa putting him, Ugarte and Bentacur out there a the same time then? Really idiotic stuff from him",hot_take,
Did you watch the match? Or did you not see Muslera run into free space for no reason on the second goal…,analysis,
"It may be boring romps, but there's a chance at fun.

Spain appears miles better than Uruguay, but Uruguay has to win that game. A draw probably isn't going to be enough. But it's within the realm of possibility that Uruguay can win right?

If they win by 1, and Cabo Verde pulls a 2 goal win, we get Cabo Verde in 1st and Spain in THIRD (almost certainly still qualifying though)",hot_take,
"Argentina SUCKED hard on the early 2000's. They lost a Copa America to Brazil with a devastating 3-0 defeat. And Brazil was using their 2nd squad because all the main players refused the NT call-up. They had no Ronaldinho, Kaká, Ronaldo, and still humiliated Argentina.",hot_take,
"17 of Irans 26 players have not played competitive football since early February since the Persian gulf league was canceled bec of the war. Friendlies canceled leading up to the World Cup. Logistical restrictions on days leading up to matches. Oldest squad in the tournament. Kept several top quality players off the score sheet today. Wasn’t the best offensive performance by team Melli, but defensively they were stellar. They deserve so much credit.",hot_take,
"I don't know what everyone's complaining about, I found this match extremely enjoyable.

Iran's defending was insane, and it was curious to see how they dealt with being one man up. Their entire gameplan was to defend and counter, and suddenly they had more spaces?

They clearly didn't trust their luck, and played it (relatively) safe, which I think is totally understandable - even with a man down, Belgium had the players to finish off Iran.

Glad they didn't!

WE NEED IRAN VS USA",analysis,
"their defending was exemplary, especially with such disadvantages   impacting their conditioning. 

BBC radio mentioned they were the last team to travel to North America, and the last to be able to train with the new world cup ball.",hot_take,
I don't think playing a striker that isn't fit and hasn't really played football in a year is good decision...,hot_take,
ITT people who don’t like Belgium and therefore think it’s a shit group. Iran-NZ was a cracker and Egypt-Belgium was a great game and featured a Lukaku aura goal and an absolute banger for Egypt. I expect Egypt’s remaining fixtures will be entertaining as well as the last Belgium game. The draws just show the group is quite evenly matched and the last MD will have plenty of entertainment with Belgium possibly getting grouped.,hot_take,
"Their domestic league has been on a slow rise, actually ahead of the Dutch one in UEFA rankings now, and they seem to produce players of decent level quite consistently, so I very much doubt it.",hot_take,
"Lol gtfo Iranian fans boo the anthem because they hate the regime but loudly cheer the players. 

Also, Iran’s disallowed goal was probably one of the smartest set ups of the whole tournament, the scorer should have just waited one second before running.",analysis,
